title,desc
Nandito ako... Nagmamahal sa 'yo (2009),"Tata went back to his hometown, Bohol with his mother from their poor life in Quiapo. He suddenly realize that his father is still alive. He fell in love with the girl he met named Stephanie who is about to get married to his stepbrother named Prince."
Tarot (2009),A young woman uses her grandmother's tarot cards to find her missing boyfriend.
In My Life (2009),"Shirley is a woman who wants to be in control of everything. Working as a librarian in a public school, a firm ""Sshhh!"" from her makes the students tremble in fear. But in her family, her unwarranted intervention in the lives of her children and their families keeps her emotionally detached from them. Realizing that she has lost the command she once had, she goes to New York to reunite with Mark , her estranged gay son who is now suffering from colon cancer. But Shirley doesn't know this and living with Mark in New York comes with a cost. She has to live with her son's lover Noel who is an illegal immigrant. Everything is going right until circumstances forces Shirley to go back to the Philippines. Now that she's back with her family, she realizes that something is wrong she is not happy."
"Oh, My Girl! A Laugh Story... (2009)","Little Opao and Biboy grew up together in an orphanage in Taal, Batangas and promised themselves to be best friends forever. As they grow older they head into separate ways; to be adopted by their respective new parents. Opao is adopted by a spinster whose failed career in acting prompts her to mould Opao into a superstar with the nickname Darling. Meanwhile, Biboy is adopted by Crisp Pops."
And I Love You So (2009),"When Lara lost her husband of five months, she didn't think she could go on living, much less love again. Now, seven months later, Lara is still in mourning. Every time a loved one died, someone else was there to cushion the blow. When her mother followed six years later, there was the rest of the family. But when her husband died, no one could offer any consolation - not her siblings, not her in-laws, not her friends. Not only was he the love of her life, he had also become her life. It would have been better if she died with him. In the meantime, her business -has taken a nosedive. She's also deep in debt with her unpaid condo and car mortgages. With all her predicament, how would Oliver and Chris figure in her life? Will she finally move on?"
You Changed My Life (2009),"It has been six months since Laida Magtalas won the heart of her prince charming Miggy Montenegro and it has been nothing but good. Laida got promoted from executive assistant to account executive, while Miggy has been doing well as he is being mentored by his older brother Art Montenegro. Laida had gotten an offer from her aunt in Canada where she is being given a good recommendation in order for her to work there."
Ate (2008),"Helen and Dave are a happy couple, but their relationship is tested when Helen's younger sister Cleo comes into the picture. Helen's Family is under treat from being torn apart as the two sisters fight for the affections of A Single Man, and Helen herself is put to the test when faced with the temptation of Lex, her Ex-boyfriend."
I.T.A.L.Y. (I Trust and Love You) (2008),Destiny. Is it beyond our control? Or do we make our own? These questions and other musings about the past and the future set the tone as we sail into the year's most anticipated film about love and life. Six people are brought together on a seven-day cruise that will change their lives forever.
Dobol Trobol (2008),"A passionate cook named Mac who strikes up a very unlikely and riotous friendship with his happy-go-lucky co-worker Arthur. As both hit the bumpy road of their misadventures, the side-splitting companionship theyve found might be what matters the most."
Crossroads (2008),"Paupahan is a series of stories that show how this words play in the lives of people. The first part is a story of a gay father to his lover son with a friend that had been cheated by her husband. it shows love for his friend, son and the lover of his son. the second story is about a father wanted give everything to his family and understand his mentally challenge wife. And the last is about a girl who do have dreams in becoming a star and the living with her smoker mother."
"Shake, Rattle & Roll X (2008)","This anthology features three chilling horror movies that include tales of supernatural beings and other beasts, such as ""Nieves"" in which a local hero must save her hometown from rampaging nature spirits known as Engkanto. In ""Emergency,"" ghoulish creatures attack a remote hospital, and in ""Class Picture,"" the ghost of a sadistic nun attacks a group of college friends. Mike Tuviera and Topel Lee direct these hair-raising films."
Caregiver (2008),"A grade school English teacher Sarah Gonzales joins the 150,000 Pinoy OFWs working in the United Kingdom to support her Husband, Teddy Gonzales in making a better living for their family. More than just a chronicle of the Filipinos experience working as nurses and caregivers in the UK, this story also charts Sarah's journey to self-discovery from a submissive wife who makes sacrifices for her Husband; Teddy's aspirations to an empowered woman who finds dignity and pride in a humbling job as a Caregiver in London."
Mag-ingat ka sa... Kulam (2008),"Mira survives a car accident, and awakens without a memory of her past. As she is regaining pieces of her life with husband Paul and blind daughter Sophie, her business associate Dave convinced her to leave her husband as what she promised her before the accident. However, the situations go more weird as strange things start to occur in her home. Mira is forced to confront her past and discover the real story"
My Monster Mom (2008),"Single-mom Esme gives her daughter for adoption to her elder brother who immediately goes to America. Twenty-seven years later, daughter Abby goes back to the Philippines to meet her real mom. But Abby's excitement is foiled upon knowing that Esme is loud mouthed and worst nightmare. Days spelled hell for Abby, as she discovers that she and her horrific mother are complete polar opposites."
Desperadas 2 (2008),"The story of Desperadas 2 is about four half-sisters - Isabella, Patricia, Stephanie, and Courtney - who have another big problems in their life. They also found out that they have another half-sister, Lugaluda."
Manay Po! 2: Overload (2008),"Luzviminda Dimagiba (Cherry Pie Picache) and her three gay sons: Oscar (Polo Ravales), Orson (John Prats) and Orwell (Jiro Manio) are back! And now they want to add a new member to their outrageous family – a cute little baby to make their new home happy and complete! But babies don’t just really just fall from heaven or can be fetched from a river, so when the Dimagibas are figuring out this dilemma, Bette (Rufa Mae Quinto) – the ditzy baby maker just came right on time to provide the answer."
A Very Special Love (2008),"Laida Magtalas is a modern-day Belle who works hard to provide for her family while hoping that someday she will meet her prince charming and that they will live happily ever after together. That would-be prince charming is none other than ""Miggy"", the youngest member of the Montenegro clan — a well established family in the business world. Moony Laida's desire to finally meet Miggy leads her to apply as an Editorial Assistant at his newly launched men’s magazine, ""Bachelor"". In spite of the fact that a relationship with Miggy may prove to be a long shot, Laida revels working in such close proximity with the man of her dreams."
Loving You (2008),"Call center plays the center in this multi-level love stories. Call center staff - Tom and Lane - are best friends, but they are lovers in denial. Tom's bestfriend, Jepoi, is a call center instructor who is in love with a 40-year-old professor, Cyrill. Their May-December love affair is hampered by the dictates of a prejudiced society. Wannabe rockstar, the boyish chic Tonee, is clueless about the growing affection of Ryan, a fellow call center trainee. The group fashionista, Bry, is an aspiring model who unexpectedly found love with a cab driver, Axel."
My Bestfriend's Girlfriend (2008),"Evo and Grace are from different worlds. Their paths cross serendipitously when Grace, a waitress in a girlie bar, agrees to fill in for a stripper friend on a bachelor party attended by Evo. His not-so gentlemanly behavior during the party doesn’t endear him with Grace, and unfortunately, neither with his girlfriend who instantly breaks-up with him. Wanting his girlfriend back, Evo arrives at a scheme upon discovering that Grace happens to be his bestfriend’s girlfriend."
Baler (2008),"In 1898, a band of Spanish soldiers heroically defended Baler against Filipino forces for 337 long and grueling days. The battle, now referred to as the Siege of Baler, is the setting of a forbidden love between a Mestizo soldier and a Filipina lass who lived at the end of the 19th century."
Desperadas (2007),"The story is about four beautiful half-sisters - Isabella, Courtney, Stephanie and Patricia - who have problems in their personal life. Isabella has issues with commitment, Stephanie is having problems with her husband Richard, Courtney's boyfriend Patrick becomes a Born again Christian and Patricia publishes her new sex book much to the dismay of her husband who's having trouble with their relationship as a couple."
One True Love (2008),"Finally after three years of courtship, Migs, a medical intern, marries simple and unassuming Joy, a nurse in the hospital of Migs' residency. Several days before the wedding, his first love and childhood best friend Bela, a sophisticated woman, returns from Canada, still single and in love with Migs. The young couple meets an unfortunate incident turning their newly-found bliss into a tragic existence. Living with Migs turns out to be an agonizing experience as his new state of mind gets more complicated as days pass. A creature of serenity, Joy refuses to name her pains and secretly vows to make Migs remember their love that was inexplicably lost and waiting to be rekindled; faithful that along the way, his heart will remember what his mind forgets."
Ikaw Pa Rin: Bongga Ka Boy! (2008),"Dra. Baby Holmes is a veterenarian who left her long time boyfriend after she discovered he has been deceiving her. Realizing that her biological clock is ticking fast, she desperately searches for the perfect guy who will mary her. Roberto “BOY” Reye is a single fireman with a son born out of wedluck. Generous to a fault, Boy is considered a small town hero. Every time someone needs help, the entire neighbourhood runs to him. By chance, Baby saves Boy’s life and to show his gratitude, he offers her anything in return, She then asks Boy to give her a child. Boy thinks she’s just joking but Baby is dead serious. However, Boy discovered that he is beginning to love Baby and her many quirks. Unable to bear the guilt, Baby suddenly leaves him."
One More Chance (2007),"Popoy and Basha had been together forever. Their love story began when they first met as students at university. They had been inseparable and did everything together—eating, studying and attending parties. However, Popoy's incessant planning and nagging took a toll on their relationship leading Basha to break-up with him."
Bahay Kubo: A Pinoy Mano Po! (2007),Bahay Kubo: A Pinoy Mano Po! is a 2007 Regal Productions movie starring Maricel Soriano and Eric Quizon. The movie is one of the official entries of the Metro Manila Film Festival.
My Kuya's Wedding (2007),"Inseparable as siblings, Jeff and Kat grew up very close to each other through thick and thin. Kat being overzealous and very wary of girls who likes her brother Jeff. Her Kuya simply means the world to her. Years later, Kat is all grown-up and lovely, and soon awaits her Kuyas return after four years of hard work from abroad. But all this excitement of a sibling reunion is foiled at the airport upon sight of Heidi, Kats worst nightmare and her brothers fiancée. Fueled with envy, Kat embarks on an all-out scheme to pull out all the stops to their impending wedding with the help of her gay bestfriend of all seasons. However, as Kat schemes to freeze the marital icing off her siblings cake, she finds herself falling for the charms of an evicted reality show superstar - Aris who happens to be Heidis brother. As she desperately clings to her last semblance of family, her Kuya Jeff, will Kat be able to stop this bridezilla from snatching away her only Kuya in her life?"
"Apat Dapat, Dapat Apat (2007)","Four women named Res, Gay, Dolly, and Brite who swore to be friends forever, become domestic helpers when they go over to another country. However, Res is beaten to death by her employers, making the other three worry because her husband gave her one condition if she comes with her friends: that she comes home safe, sound and alive. Brite, Gay, and Dolly decide to bring their dead friend Res home."
Hide & Seek (2007),"After a tragedy, a family moves to an isolated house where strange apparitions appear."
Tiyanaks (2007),"Against the advice of a concerned mythology professor, a group of school friends decide to take an out of town trip during the holy week. When they first leave on their vacation, Shiela, Rina, Christian, Kerwin and their friends believe they have made a good decision. Everyone is happy and excited about their upcoming adventure. But soon, the mood starts to change. Shiela begins having dreams and premonitions about an evil presence somehow related to young children. She sees images of an old woman that terrifies her. Troubling, frightening events seems to multiply around them. The friends soon begin to believe that one of them may be the source of the evil that is plaguing them. Will one of friends have to sacrifice themselves in order to protect the others?"
"Shake, Rattle and Roll 9 (2007)","This ninth installment in the classic horror series offers up a trio of spine-chillers from the Philippines. In Christmas Tree, a rampaging Christmas tree is out for blood as it terrorizes a family during the holidays; next, in Bangungot, three people in a love triangle find themselves ensnared in a supernatural nightmare. Finally, a teenage Goth band is cursed by a temptress's lethal spell in Engkanto."
Happy Hearts (2007),"Happy Hearts is about true love between a young man and a young woman, a son's love for his father, a father's love for his son, and true love between a man and a man. Alvin (Rayver Cruz) returns to the Philippines with her mom Sarah (Jean Garcia) to visit his father, Enrico (Rustom Padilla) a respected professor of an exclusive university for boys and his godfather Louie (Wendell Ramos), a sing-along master and who happens to be Enrico's live-in partner. Alvin falls in love with Kristine (Shaina Magdayao), a rich and talented girl who lives under the strict hand of a very influential father (Tirso Cruz III). Can love survive the odds? Will Alvin fight for his true love? Will the man get to keep his romance with the man? Will everybody's hearts indeed be happy?"
The Promise (2007),"Daniel and Andrea grew up in the same home and have been closer than real brothers and sisters ever since. But her father's goodwill to take in Daniel and bring him up does not sit well with her real older brother, who retaliates one day and kicks Daniel out. But by this time, nothing can come between the deeply in love Andrea and Daniel anymore--until the rich family on whose hacienda they've been working all these years come back. Andrea catches the eye of the rich son, while the daughter fancies Daniel, too. This will set in motion a series of events that will test how deep the two's love goes."
"Shake, Rattle & Roll 8 (2006)","Just like the seven previous SR&R franchise, this has three episodes-""13/F,"" about a children's party held in a forbidden floor; ""Yaya"" is about a naughty kid who discovers that her new nanny is a vampire; and ""LRT"" is about a freak accident in which people find themselves trapped in an LRT coach, chased by a monster."
Gigil (2006),"Would-be groom Don jilts his fiancée, China, at the altar after realizing that he's gay. To mend her broken heart, China washes her hands of men and sets off on a holiday to picturesque Boracay, where she soon meets handsome diving teacher Felix."
Till I Met You (2006),"Señor Manuel is an elderly gentleman who falls in love with the charming Luisa, a confidence trickster posing as a rich socialite. In preparation for their upcoming wedding, Señor Manuel takes Luisa back to see his hacienda and introduces his new fiancé to the staff. Among which is Gabriel, Manuel's right-hand man, who is not only well respected by the town’s people, but is also the one person that Señor Manuel trusts the most. Likewise, Gabriel cares deeply for the old man and is very protective of the haciendero; so much so that during the initial meeting, the fiercely devoted Gabriel immediately becomes suspicious that Luisa is a fake and is only after Señor Manuel’s money."
TxT (2006),"A provocative thriller that will surely raise the fear in you. Proving that no one, not even DEATH can separate us from the living. A story that conquers the old adage ""till death do us part"", Roman (Oyo Boy Sotto) dies in a car accident. In a restless and unforgiving state he continues to prove his affection for girlfriend Joyce (Angel Locsin) . He then decides to embark in an intrepid and malevolent journey in order to keep Joyce. Joyce then began receiving hair raising text messages and even gets ""death photos"" of people close to her, including that of her current beau Alex (Dennis Trillo). She ignores these at first, but when the deaths happen under the exact circumstances at which they were predicted, she realizes she must fight the evil behind all these to protect her loved ones from this supernatural force."
Blue Moon (2006),"Corazon (Boots Anson Roa), an old Filipina who lives in Boston, wrote to each Manuel Pineda in her home a letter. She hopes to find her love again. In the Philippines experiences of the old Manuel Pineda (Eddie Garcia), meanwhile, that he has cancer and has only months to live. He goes in search of his Corazon.There were two Corazons in his life: before the Second World War, he spent (Mark Herras) and his buddy Domingo (Polo Ravales) a lot of time with the shy ""Cora"" (Jennylyn Mercado) and the lively "" Azon ""(Pauline Luna)."
Super Noypi (2006),"In this offbeat Filipino fantasy, six teens find themselves cast in the role of world saviors when the vengeful villain Diego abducts their parents... who happen to be the fabled superheroes known as the Noypi. Along with martial artist Lia—sent from the future to help the youngsters discover and hone their inherited powers—can the kids save their parents from doom and deliver the planet from evil?"
Mano Po 5: Gua Ai Di (2006),"A culinary romance set in Binondo, where Chinese traditions are still very much observed, Mano Po 5: Gua Ay Di is a touching story of how a young Chinese woman fights for the man she loves. She is doomed by strict family traditions to only wed someone of pure Chinese descent. But Charity finds love where she was not supposed to find it... at least according to her cold-hearted mother. Despite being met with resistance by her traditional Chinese family, most especially her mother, Charity continues her relationship with Nathan. Nathan, on the other hand, proves himself and his love to her by making an effort to learn about her background, culture and language resulting into various mishaps, sometimes comical and other times just plain disastrous. Charity finds solace in the kitchen, her cooking interwoven with the story of her ill-fated romance. Will true love prevail in the end? And will she be able to come up with the perfect recipe for love?"
White Lady (2006),"Pearl,a simple and smart girl who just arrived in the city to attend college. For reasons she cannot explain and understand, Pearl is haunted by the ghost of a white lady said to be frequenting the school grounds."
ZsaZsa Zaturnnah Ze Moveeh (2006),"After experiencing heartache, Adrian a.k.a. Ada - a conservative homosexual, leaves the city with his cousin Aruba. Relocating to a quaint province to start a new life and a parlor business, she meets her assistant Didi, her new secret love Dodong and a multitude of wacky characters including Dodong's brother Poldo, the peculiar couple Aling Britney and Mang Justin and her arch-rival when it comes to Dodong's affections Krystal. When a mysterious stone engraved with the words ""Zaturnnah"" falls from the sky one night, Ada gulps it down and he is magically transformed into Zsa Zsa Zaturnnah, a super heroine with immense strength and extraordinary beauty. In the pursuit of liberty, truth, justice and loads of excellent hair coloring, she fearlessly defends her newfound home from a giant frog, zombies running amok and from the overbearing Amazonistas from Planet X led by man-hater Queen Femina."
Pamahiin (2006),"Noah comes home from the States to look into the real reason behind his best friend Damian's death. With his clairvoyant girlfriend Eileen, he meets old folks who shed light on pervasive superstitious beliefs about death and ghosts. Noah's skepticism is challenged as four souls trail him and Eileen."
Manay Po! (2006),"Manay Po tells the story of Luz, a small time jeweler who dreams of making it big so as to provide a better life for her family. Her life revolves around her brood of three, namely, Oscar, Orson and Orwell and her live-in boyfriend Gerry. With the help of her good friend and maid Maritess, Luz was able to raise her children normally despite the absence of a husband. In spite of her children's questionable sexualities, their family paints a picture of a happy family - a home filled with laughter and unconditional love."
Eternity (2006),"Eternity is an epic romance about a pair of star-crossed lovers Crisanto and Milagros and how true love transcends different lifetimes. In the face of family hostilities and atrocities, the two continue to fight for their love until the bitter end. Cholo and Maegan are two different people with different backgrounds, finding each other as if by fate. It's as if they've known each other all their lives! But the young lovers' romance is thwarted by their respective families' deep-rooted dislike for each other. Will history repeat itself? Or will love finally conquer all the odds this time around?"
I Will Always Love You (2006),"Justin (Richard Gutierrez) & Cecille (Angel Locsin) play students from different social backgrounds. Against the wishes of his rich parents, Justin pursues Cecille, who also falls hard for the handsome rich boy. Justin, however, is being forced to marry Donna (Bianca King), the daughter of his parents’ business partner. His parents order him to study in the United States to separate him from the poor girl. Unable to accept life without Cecille, Justin is somehow able to take her with him to the US without his parents awareness."
Bahay ni Lola 2 (2005),"Rupert and Nina, a recently married couple with a newborn, buy a their dream house at a bargain price. As they settle into their home, they glimpse the ghost of an old woman and make a shocking discovery when they dig up the backyard."
Say That You Love Me (2005),"When a message in a bottle finally reaches its intended target, two unlikely lovers discover they're meant for each other. Working side by side with his depressed father at their family-owned business, Stephen isn't used to doing much talking. On the flip side, the spunky Kristine has never had any problems saying exactly what's on her mind. Can these two polar opposites make their love connection work?"
Mulawin: The Movie (2005),"After resolving to live peaceful lives as mortals, enchanted warriors Aguiluz and Alwina are caught in a violent storm and washed away to separate shores, where they struggle to survive without their memories. Meanwhile, the fire maiden Pirena resurrects Ravenum to wreak havoc on the Mulawin race."
Mano Po 4: Ako Legal Wife (2005),"When Chona Chong (Zsa Zsa Padilla) learns that her wealthy husband Elton (Jay Manalo) is having an affair with two younger women (Cherry Pie Picache and Rufa Mae Quinto) -- and has even fathered a child with one of them -- her once-perfect life lies in ruins. Numbing the pain with Botox, liposuction and breast implants works well enough, at first. But then her only son (John Prats) drops another bomb: He thinks he might be gay."
Shake Rattle & Roll 2k5 (2005),"The second installment of episodes from this classic horror series scares up even more screams than the first. In ""Poso,"" a wealthy client tempts a hack occultist out of retirement. In ""Aquarium,"" a family moves into their new home only to discover that the previous occupants left something terrible behind. And in ""Lihim,"" a pregnant woman fears for the life of her unborn child."
Hari ng Sablay (2005),"Venus and Mars are neighbors born during a rare planetary alignment, but while Venus grows up blessed by good fortune, Mars seems destined to bring nothing but bad luck to his friends and family. Just when everything looks hopeless for Mars, he discovers he has a rare gift and also that he's in love with the beautiful Venus. Is romance in the stars for Mars, or will his rotten fate break his heart again?"
Dubai (2005),"Summoning his younger brother Andrew to the city of Dubai, the financially stable Raffy a Filipino citizen who's spent several years overseas hopes his sibling can find work so that they can finally move to Canada. Unfortunately, Raffy doesn't expect Andrew to go falling in love with his ex-girlfriend, Faye a woman Raffy, in fact, still cares for very much."
North Diversion Road (2005),"Comprised of ten conversations between a man and a woman on the theme of infidelity, the film essays the topic by interrogating its effect on a relationship after-the-fact."
Forever My Love (2004),A hunting film about ghosts and undying love. Its a movie about loving another person to death… and beyond.
Minsan Pa: Kahit Konting Pagtingin 2 (1995),"Fernando Poe, Jr. and Megastar Sharon Cuneta reunite In the sequel of the blockbuster hit Kahit Konting Pagtingin. A spoiled heiress visits the home of her former bodyguard only to find him imprisoned. Will they finally release the love they held back for so long?"
Pa-siyam (2004),"After their mother's death, her adult children gather in their family home to respect the funereal rite of Pa-sayim. Although they had originally thought she died of natural causes, thy soon realize that a dark force in he home may have played a part in her demise."
Masikip sa Dibdib: The Boobita Rose Story (2004),Boobita Rose is a woman dealing with her dysfunctional family and a socially challenged love life.
Aishite Imasu 1941: Mahal Kita (2005),"Inya, a heroine of the Philippine resistance against the Japanese during World War II, recalls events involving her husband Edilberto and their childhood friend Ignacio, a transvestite who, masquerading as a woman also named Inya, becomes the lover of the local Japanese commander, Ichiru, and is caught between a duty to be a spy for his country and friends and his reluctant but growing love for Ichiru."
Kuya (2004),"The adventures and misadventures of a group of teenagers, chronicling their pain and the lessons learned along the way."
The Echo (2004),"After moving into his new digs a ratty apartment in a decrepit building Marvin senses that something is amiss. Every night, domestic violence occurs at the home of his neighbors: an alcoholic cop, his wife, Anna, and their daughter, Lara. When bloody apparitions of Anna and Lara flash before Marvin's eyes, he begins to question his sanity in this atmospheric horror film."
Kulimlim (2004),"A man takes the law into his own hands when his wife's rapists are released from prison on a technicality, only to be possessed by the spirits of the criminals."
I Will Survive (2004),"Four disparate friends one a homosexual strive to be wonderful spouses and parents, yet despite good intentions, they all struggle with personal dramas. While Cynthia and her husband are no longer intimate, Mylene has learned her spouse is sleeping around. In the meantime, Louise fears her daughter isn't pretty enough, and gay foster father Mandy must come out of the closet."
Gagamboy (2004),"An accident at a pharmaceutical lab turns the mild-mannered and unassuming Junie, an ice cream vendor, into a superhero. Junie finds out that being strong and admired can also have its downside."
Magic Kingdom: Alamat ng Damortis (1997),"The Kingdom of Damortis was once ruled by the kind-hearted Empress Sofia who was ordered to be killed by Basilicus, her brother who has a great desire for the throne. Princess Dahlia, heir to the throne elopes with the blind singer Mico. Amain and his warrior trainees, Jobert, Samuel, and Oman are tasked to protect the princess and save Damortis from the evil forces of Basilicus."
Milan (2004),"Loving husband Lino is on a mission: his wife, who works as a domestic in Milan, is missing and he's determined to find her. To do so, he enters Italy illegally and takes cover as one of the hundreds of Filipino migrant workers who make their way to Europe."
Sabel (2004),"After enduring a troubled childhood, a woman struggles to find herself in this provocative tale about life's vagaries and ultimate redemption. The film follows the emotional journey of Sabel, a complex woman portrayed as both bad and good, who permanently alters the lives of those in her orbit and who is eventually charged with murder."
Feng Shui (2004),"After finding a Feng Shui amulet, Joy starts to see a string of fortunate events come her way. Soon, she realizes it is, in fact, a curse. Now she must break the cycle of good fortune and death in order to save her family."
Beautiful Life (2004),"A group of disparate women find comfort in one another when faced with heart-wrenching tragedy in this moving story. After a terrorist bombing at an airport kills many innocent victims, the lives of the family members who lost their loved ones are forever changed. In their anger, grief and disbelief, eight women of different generations and backgrounds forge a bond."
Mano Po III: My Love (2004),"Anti-crime crusader Lilia Chiong Yang seems to have everything a woman could want and need: a husband who pampers her; children whom any parent would be proud of; and the respect & admiration of the most powerful people in the land. But just as Lilia prepares for her 25th wedding anniversary celebration, a chance encounter in Thailand with her first love Michael throws Lilia's life into chaos. So begins the resumption of a relationship that threatens to unravel the delicate threads connecting Lilia to the other people in her life. - Written by regalfilms"
Annie B. (2004),"Annie who comes from a poor family is the epitome of an active and lively teenager. Fernando is the owner of an ad agency. The story begins when Annie halts Fernando's wedding thinking it was Fernando who got her sister pregnant. It just so happened that Fernando and Annie's sister's BF share the same name. The two meet again when Annie auditions for a TV commercial. Despite their rocky start, the two get to know each other."
So... Happy Together (2004),"Talkative Lianne and colorful gay Osmond become fast friends when they meet at the first Gay Pride Parade in Malate in the early 80's. For the next thirty-plus years of their lives, they'll do everything together, whether it's eating, shopping, discussing life and even looking for the perfect man! So inseparable are their pair that even their mothers become best friends too."
Bakit Papa? (2002),"Bakit Papa, which was released nationwide in the Philippines in 2002. The Sexbomb Singers took the lead, with the Dancers playing support."
Filipinas (2003),"Florencia, the matriarch of the Filipinas family, is in poor health, and Yolanda, the eldest of the Filipinas children, finds herself in the unenviable position of keeping her bickering family from disintegration. As the tension rises, Yolanda seeks refuge in a local church. She is critically injured trying to break up a nasty fight between brothers Emman and Samuel, forcing her family to make a life-changing decision."
Anghel sa Lupa (2003),"While saving his brother's life, Benjo dies, but he decides to forgo the afterlife and remain on Earth as his family's protector in this touching supernatural drama. Determined to help his distraught and lonely mom, Benjo the wayward soul tries desperately to reach out to his loved ones, eventually finding help from another drifting spirit."
Keka (2003),"Keka is a beautiful young woman working in a call center. Wanting to hunt down the killers and avenge her boyfriend's death, she undergoes rigid training. Everything has been going well until she meets the guy who makes her fall in love again."
"Curacha, Ang Babaeng Walang Pahinga (1998)","A story about a torera (a live sex performer) who finds herself trapped in an anomalous game of association between sex, life and death, and its political equivalent of sleaze, subservicence and power in drug-addled world. Every night, she sets off to join her fellow toreras for a midnight show of fun and kitschy live sex act. In one tuning point of her life, she bumps into a long-lost friend, Myrna, a former torera, who seems to have a lost grip on life. Curacha makes it her personal mission to save Myrna as she does some sou-searching herself. In the end, we see traces of hope glimmering somewhere, somehow, in a manner that escapes the restless Curacha."
Bahid (2002),"As a ramp and commercial model and a swinging teenager in this movie of sex,wealth and power, Assunta de Rossi as Erika is a sexy appealing face on billboards and on the catwalk but,at home, with her sister Loida, she shares a dark secret with her surrogate father,Mr. Lorenzo Lavares, who is wed to her sister. The house of Lavares features a strange quartet father and son married to the sisters with warped emotions and shocking happenings."
Pangarap Ko Ang Ibigin Ka (2003),A lonely man gets a second chance at love when he meets a woman during a visit to his wife's grave.
Mano Po 2: My Home (2003),"Antonio Chan, a prominent Chinese businessman, has three women in his life Sol, a Filipina; Lu Shui, a Chinese; and Belinda, a Filipino-Chinese. Antonio has children with all three women. A crisis shakes up the over-extended Tsinoy family prompting all the members to re-examine their values, their relationships, and confront issues that they have refused to face all these years."
Tanging Yaman (2000),"Three siblings Danny, Art and Grace are now well settled with their respective families, in widely contrasting lifestyles. The one common thing that binds them loosely together is the love that their mother Dolores ""Loleng"" Rosales holds for all of them and her grandchildren, albeit expressed in varying ways and degrees, but always equally nurturing and self-giving. Much as they are held together by her, they are in turn separated by physical distance and the sad legacy left behind by their deceased, erstwhile strong-willed, patriarchal father."
Spirit Warriors: The Shortcut (2003),"Starting from where they last left off, the Spirit Warriors stumble upon a black hole to the Netherworld in their search for an ancient mystical and powerful amulet. Now that they've found a way in, there comes the problem of how to get back - especially as the Netherworld's dark denizens spring into action to give the Spirit Warriors a taste of their gruesome never-land hospitality."
Bugbog Sarado (2003),"The story opens with Brandon and Shy, negotiating for a lease of an old room owned by Stella. Brix, a travelling salesman and Stella's live-in partner deals with the couple in behalf of the landlady. Little do they know that inside the mysterious house lies a perplexed truth. Bugbog Sarado"" shapes up the frames of sadism and masochism. It intensified the sounds of pain and protest in discovering the real encounters inside the bedroom of abused women."
Sanib (2003),"Melissa is a young woman blessed with great fortune she has a blossoming career in fashion design, a slew of adoring friends, and a fiancé who is no less than the man of her dreams. Everything seems favorable until the night of her engagement party, for she is suddenly beset by visions of her dead sister, Magda. Soon, Melissa realizes that Magda's soul wishes to claim her life, believing that it was the life meant for Magda, had she not died. As Magda takes control of her body, Melissa sees her perfect life crumble."
Ang Tanging Ina (2003),"Desperate to provide a comfortable life for her children, Ina willingly takes all kinds of jobs available to her. But what happens when Ina's family continues to fall apart despite all her sacrifices?"
Walang Kapalit (2003),"Dennis leaving his wife,Joanna to follow his first love Celine in America.That happened eight years ago.Joanna was had difficulty coping up with the separation."
Jesus the Revolutionary (2002),A man named Jesus takes on the ruling military junta.
Matalino Man Ang Matsing Naiisahan Din! (2000),Classic movie starred by Eddie Garcia.
Mahal Kita: Final Answer! (2002),"Joanna, a good-for-nothing girl who miserably failed in her attempt to win any television game show and contest, is hired by Nino as his personal secretary, believing that she could be her lucky charm. But things did not work as he planned, until..."
Super-B (2002),A Filipino comical superhero movie about Bilma who transforms into Super-B to fight crime.
Pag Oras Mo... Oras Mo Na (2000),An alcoholic detective meets a witty attorney.
"Jeannie, Bakit Ngayon Ka Lang? (2002)","In this magical movie, an overseas Filipino worker named Badong Bulaong (Robin Padilla) returns in the country after working in the Middle East. Upon his arrival, he was swindled of his belongings and was only left with a bottle he picked up in Saudi as a souvenir. To top it all, he discovered that his girlfriend has fallen in love with a basketball player. In his despair, he threw the bottle to the wall and from there came out a genie named Jeannie (Judy Ann Santos). And just like in fairy tales, he was entitled to three wishes."
Mana-mana Tiba-tiba (2000),Don Segundo concedes he's been a scoundrel all his life that he is expecting no one to attend his wake. His last will and testament therefore states that he will give P100 million pesos each to the first two people who will sign the official guest book in his wake.
Ikaw Lamang Hanggang Ngayon (2002),"A bachelor dreams of settling down, while a bored postal worker wishes for a man."
Prosti (2002),Nanay Xedes runs her whorehouse with an iron fist and expects her employees to obey her rules — the most important of which is that her pimps and prostitutes can never be intimate with each other.
Singsing Ni Lola (2002),"The curse was cast by Dona Guada on the family of GLORIA ROMERO -- any female born to the family will die on the day they turned 18. Gloria Romero as lola possessed a magical ring that is being guarded by a mysterious and furious cat. However, the ring was misplaced and Gina Alajar, as the sacrificing mother, will do everything to save her daughter, Maxene Magalona, from a mysterious and thrilling ailment. The quest for the ring and the feline that guards it creates a mysterious and thrilling theme throughout the movie. The cast is also joined by Allan K as the naive security guard who is later on possessed by thje feline and Aiza Seguerra as the media person who unravels the mystery behind lola's ring, and the cat that oversees the jewel."
